personality,hands,vpip,pfr,vpip_pfr_gap,global_af,flop_af,turn_af,river_af,postflop_af,wtsd,all_in_freq,in_sticky_mid_zone,detector_label,detector_misses
Oprah Winfrey,639,0.1189,0.0876,0.0313,0.6642,0.5,0.6956521739130435,0.5,0.5737704918032787,0.8348623853211009,0.0047,False,,False
Abraham Lincoln,3254,0.2127,0.1263,0.0864,0.6904,1.1111111111111112,1.0,1.1785714285714286,1.0975609756097562,0.8187403993855606,0.0224,False,,False
Elon Musk,274,0.1022,0.0839,0.0182,1.0339,0.5384615384615384,2.25,1.3,1.2258064516129032,0.8181818181818182,0.0000,False,,False
Queen of Hearts,2230,0.3753,0.1570,0.2184,0.7583,2.8461538461538463,2.4909090909090907,2.2830188679245285,2.5375,0.794577685088634,0.0179,False,,False
King Henry VIII,2785,0.3813,0.2018,0.1795,0.7486,2.44,1.803030303030303,2.0847457627118646,2.08,0.7892156862745098,0.0244,False,,False
Shakespeare,1153,0.3252,0.0945,0.2307,0.6085,1.696969696969697,1.5806451612903225,2.3225806451612905,1.8631578947368421,0.7808510638297872,0.0113,False,,False
Sherlock Holmes,7414,0.2911,0.1226,0.1685,0.6761,1.3827751196172249,1.5490196078431373,2.042682926829268,1.6291161178509532,0.7666666666666667,0.0295,False,,False
Nikola Tesla,1199,0.3403,0.1126,0.2277,0.6489,1.34,1.6808510638297873,1.8461538461538463,1.6029411764705883,0.7533980582524272,0.0142,False,,False
Player1,1933,0.2406,0.1019,0.1386,0.5497,0.8012820512820513,0.6890243902439024,0.524822695035461,0.6767895878524945,0.7403708987161198,0.0181,False,,False
Player3,1886,0.2216,0.1076,0.1140,0.5820,0.7159763313609467,0.6646706586826348,0.6129032258064516,0.6695652173913044,0.7355126300148589,0.0186,False,,False
Napoleon,10365,0.4534,0.3110,0.1425,1.1673,7.2375,5.8580246913580245,4.242774566473988,5.739393939393939,0.7248342374924653,0.0204,False,,False
Bob Ross,7254,0.3380,0.1355,0.2025,0.6405,1.4144144144144144,1.2762237762237763,1.1947565543071161,1.3036117381489842,0.7237918215613383,0.0487,False,,False
Batman,5970,0.2106,0.1077,0.1028,0.7078,0.842948717948718,1.0782918149466192,1.0727272727272728,0.9919354838709677,0.7098419173890872,0.0203,False,,False
Player2,1749,0.2510,0.1144,0.1366,0.5486,0.555,0.75625,0.5886075949367089,0.6274131274131274,0.703875968992248,0.0200,False,,False
Tyler Durden,4701,0.2248,0.1283,0.0966,0.7542,0.8538961038961039,0.991869918699187,1.2232142857142858,1.0038560411311055,0.6994106090373281,0.0221,False,,False
Snoop Dogg,537,0.1080,0.0819,0.0261,0.6893,0.3684210526315789,0.9,0.6875,0.6,0.6931818181818182,0.0112,False,,False
Gordon Ramsay,6899,0.2587,0.1699,0.0889,0.9473,1.3230337078651686,1.5033557046979866,1.8808510638297873,1.530933633295838,0.6519187358916478,0.0391,False,,False
Winston Churchill,2038,0.4563,0.2350,0.2213,0.8807,2.2989690721649483,2.1392405063291138,2.6271186440677967,2.3276595744680852,0.6416558861578266,0.0883,False,,False
Blackbeard,1573,0.5734,0.3662,0.2072,1.2008,10.05,5.357142857142857,2.3870967741935485,6.3232323232323235,0.624405705229794,0.0687,False,,False
Joan of Arc,4227,0.1647,0.0722,0.0925,0.6715,0.8820960698689956,1.0747126436781609,1.0076335877862594,0.9756554307116105,0.5275862068965518,0.0076,False,,False
Alice,4448,0.1722,0.0758,0.0964,0.6724,0.9490740740740741,1.0170454545454546,1.1153846153846154,1.0134099616858236,0.4903536977491961,0.0074,False,,False
Buddha,5402,0.2266,0.1366,0.0900,0.7983,1.1607717041800643,1.0786026200873362,1.2275862068965517,1.1474452554744525,0.4521158129175947,0.0326,False,,False
Eeyore,1195,0.4979,0.2895,0.2084,0.8929,1.787037037037037,1.7076923076923076,1.7045454545454546,1.7465437788018434,0.39950372208436724,0.1255,False,,False
Lady Gaga,826,0.6961,0.5048,0.1913,1.0913,2.4155844155844157,2.2830188679245285,2.6551724137931036,2.4150943396226414,0.3769968051118211,0.1840,False,,False
The Librarian,499,0.3908,0.3607,0.0301,1.7565,5.8076923076923075,9.833333333333334,4.666666666666667,6.4,0.13829787234042554,0.0741,False,,False
The Honey Badger,290,0.8138,0.7759,0.0379,1.9277,17.0,30.0,8.0,19.615384615384617,0.10588235294117647,0.1069,False,,False
